"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 05, 2018","184.93","186.14","186.85","181.78","4.00M","-0.61%"
"Sep 06, 2018","185.18","184.48","185.62","181.91","2.71M","0.14%"
"Sep 07, 2018","188.59","185.56","189.15","185.31","2.25M","1.84%"
"Sep 10, 2018","186.36","188.60","189.71","186.26","1.83M","-1.18%"
"Sep 11, 2018","184.87","186.00","186.00","183.00","1.60M","-0.80%"
"Sep 12, 2018","186.89","185.07","187.35","183.82","1.98M","1.09%"
"Sep 13, 2018","193.21","187.63","193.41","186.88","2.99M","3.38%"
"Sep 14, 2018","195.11","193.57","195.68","192.86","2.36M","0.98%"
"Sep 17, 2018","197.84","196.50","201.69","194.82","6.53M","1.40%"
"Sep 18, 2018","200.07","198.09","201.55","196.00","4.44M","1.13%"
"Sep 19, 2018","199.19","200.42","201.72","197.91","2.84M","-0.44%"
"Sep 20, 2018","201.33","200.21","201.64","200.16","2.50M","1.07%"
"Sep 21, 2018","202.23","202.14","203.06","197.41","3.70M","0.45%"
"Sep 24, 2018","203.24","200.92","203.66","200.57","2.84M","0.50%"
"Sep 25, 2018","201.50","203.05","203.29","199.80","3.06M","-0.86%"
"Sep 26, 2018","202.43","202.10","204.00","200.82","2.26M","0.46%"
"Sep 27, 2018","206.35","203.36","206.63","202.96","2.57M","1.94%"
"Sep 28, 2018","208.25","205.03","208.73","204.22","3.33M","0.92%"
"Oct 01, 2018","210.93","209.22","211.98","208.55","2.41M","1.29%"
"Oct 02, 2018","210.59","211.00","211.62","209.85","2.27M","-0.16%"
"Oct 03, 2018","212.33","213.01","213.58","210.38","2.10M","0.83%"
"Oct 04, 2018","212.62","212.40","213.42","210.97","2.32M","0.14%"
"Oct 05, 2018","215.72","213.00","216.00","212.81","2.40M","1.46%"
"Oct 08, 2018","212.90","214.79","215.46","210.02","2.70M","-1.31%"
"Oct 09, 2018","214.04","212.00","215.28","211.52","1.76M","0.54%"
"Oct 10, 2018","209.97","213.82","215.36","209.71","2.56M","-1.90%"
"Oct 11, 2018","206.00","209.59","210.77","202.73","3.61M","-1.89%"
"Oct 12, 2018","207.09","207.76","209.84","205.99","2.62M","0.53%"
"Oct 15, 2018","203.92","205.81","207.07","203.83","1.79M","-1.53%"
"Oct 16, 2018","211.96","206.84","212.47","206.39","2.79M","3.94%"
"Oct 17, 2018","211.20","211.19","212.21","209.21","1.46M","-0.36%"
"Oct 18, 2018","212.74","211.35","213.08","209.07","1.88M","0.73%"
"Oct 19, 2018","210.00","213.70","214.91","209.00","2.06M","-1.29%"
"Oct 22, 2018","208.80","209.78","211.45","207.40","1.40M","-0.57%"
"Oct 23, 2018","210.34","206.17","211.08","205.02","1.84M","0.74%"
"Oct 24, 2018","201.92","209.77","210.93","201.59","2.88M","-4.00%"
"Oct 25, 2018","210.37","202.61","211.92","201.22","3.65M","4.18%"
"Oct 26, 2018","206.69","208.15","208.37","204.08","2.86M","-1.75%"
"Oct 29, 2018","206.87","208.43","214.00","204.05","1.99M","0.09%"
"Oct 30, 2018","210.26","207.90","210.65","206.27","1.99M","1.64%"
"Oct 31, 2018","213.81","212.00","214.45","209.28","2.82M","1.69%"
"Nov 01, 2018","216.28","219.01","222.72","212.14","4.12M","1.16%"
"Nov 02, 2018","213.13","216.76","218.00","212.07","2.28M","-1.46%"
"Nov 05, 2018","215.50","214.00","216.57","213.34","1.36M","1.11%"
"Nov 06, 2018","214.24","215.05","215.96","213.48","2.14M","-0.58%"
"Nov 07, 2018","220.29","218.00","222.25","218.00","3.24M","2.82%"
"Nov 08, 2018","220.49","220.60","221.19","219.32","3.76M","0.09%"
"Nov 09, 2018","217.65","220.67","220.99","216.77","1.79M","-1.29%"
"Nov 12, 2018","217.42","217.08","219.16","216.45","1.98M","-0.11%"
"Nov 13, 2018","213.05","217.43","218.37","212.26","2.88M","-2.01%"
"Nov 14, 2018","212.35","213.56","214.66","210.92","2.75M","-0.33%"
"Nov 15, 2018","212.80","211.57","213.44","208.61","2.41M","0.21%"
"Nov 16, 2018","213.72","213.21","215.10","212.39","1.80M","0.43%"
"Nov 19, 2018","211.19","215.84","215.84","209.47","1.40M","-1.18%"
"Nov 20, 2018","207.78","211.23","211.83","207.24","1.80M","-1.61%"
"Nov 21, 2018","209.71","207.24","211.96","207.24","1.84M","0.93%"
"Nov 23, 2018","211.16","208.84","213.16","207.19","535.42K","0.69%"
"Nov 26, 2018","216.28","213.12","218.38","211.53","2.19M","2.42%"
"Nov 27, 2018","216.80","215.85","217.24","214.22","2.28M","0.24%"
"Nov 28, 2018","221.72","216.58","222.52","215.47","2.61M","2.27%"
"Nov 29, 2018","222.52","220.50","223.83","218.93","1.89M","0.36%"
"Nov 30, 2018","223.38","223.19","223.96","219.93","2.44M","0.39%"
"Dec 03, 2018","224.84","224.82","226.60","220.78","2.70M","0.65%"
"Dec 04, 2018","217.84","225.45","226.19","217.29","2.55M","-3.11%"
"Dec 06, 2018","214.29","216.04","216.78","206.61","2.85M","-1.63%"
"Dec 07, 2018","206.11","213.39","215.11","204.27","2.56M","-3.82%"
"Dec 10, 2018","206.08","206.63","207.47","199.53","2.02M","-0.01%"
"Dec 11, 2018","205.94","207.73","210.12","204.06","1.33M","-0.07%"
"Dec 12, 2018","207.69","208.53","211.20","207.41","2.03M","0.85%"
"Dec 13, 2018","211.95","210.02","213.71","207.35","3.08M","2.05%"
"Dec 14, 2018","205.37","210.84","211.58","202.66","3.63M","-3.10%"
"Dec 17, 2018","198.66","201.00","202.87","197.54","3.94M","-3.27%"
"Dec 18, 2018","192.06","201.52","202.39","190.32","3.72M","-3.32%"
"Dec 19, 2018","193.30","192.04","201.13","190.70","4.75M","0.65%"
"Dec 20, 2018","179.80","194.81","194.81","178.30","8.71M","-6.98%"
