Date,Price,Open,High,Low,Vol.,Change %
08/16/2018,87.34,86.35,87.69,86.2,5.50M,0.80%
08/17/2018,87.39,87.48,87.65,86.77,2.81M,0.06%
08/20/2018,88,87.66,88.3,87.5,3.99M,0.70%
08/21/2018,87.85,87.74,88.13,87.68,5.30M,-0.17%
08/22/2018,87.99,87.71,88.3,87.4,2.55M,0.16%
08/23/2018,87.73,87.82,88.39,87.57,2.57M,-0.30%
08/24/2018,87.91,87.99,88.46,87.76,3.80M,0.21%
08/27/2018,87.81,87.86,88.18,87.26,2.60M,-0.11%
08/28/2018,88.09,87.51,88.56,87.49,3.61M,0.32%
08/29/2018,88.53,88.3,88.85,88.01,2.88M,0.50%
08/30/2018,88.26,88.75,89.6,88.13,2.80M,-0.30%
08/31/2018,88.02,88.09,88.44,87.88,3.26M,-0.27%
09/04/18,86.95,88.21,88.21,86.93,3.20M,-1.22%
09/05/18,89.83,86.71,90.75,85.78,8.44M,3.31%
09/06/18,90.23,89.55,90.38,89.05,7.02M,0.45%
09/07/18,90.8,90.1,91.03,89.46,4.54M,0.63%
09/10/18,90.15,90.72,91.36,90.09,2.74M,-0.72%
09/11/18,89.65,89.45,90.03,88.34,3.01M,-0.55%
09/12/18,89.97,89.26,90.05,89.26,3.30M,0.36%
09/13/2018,91.32,90.07,91.37,90.07,2.89M,1.50%
09/14/2018,91.82,91.02,91.88,91.01,2.72M,0.55%
09/17/2018,95.23,91.98,96.45,91.52,10.30M,3.71%
09/18/2018,94.94,94.95,96.05,94.28,10.89M,-0.30%
09/19/2018,94.64,94.65,95.51,94.38,5.00M,-0.32%
09/20/2018,95.04,94.79,95.38,94.79,5.35M,0.42%
09/21/2018,94.58,95.19,95.51,94.48,8.31M,-0.48%
09/24/2018,94.4,94.15,94.85,94,3.97M,-0.19%
09/25/2018,94.08,94.39,94.51,92.41,5.50M,-0.34%
09/26/2018,94.28,94.4,95.11,93.8,4.30M,0.21%
09/27/2018,94.81,94.31,95.21,94.11,2.44M,0.56%
09/28/2018,95.01,94.86,95.37,94.3,5.12M,0.21%
10/01/18,95.06,95.25,96.36,94.96,3.05M,0.05%
10/02/18,95.27,95.2,95.75,95.07,2.67M,0.22%
10/03/18,95.34,95.5,96.14,94.57,4.20M,0.07%
10/04/18,95.26,95.05,95.68,94.96,2.24M,-0.08%
10/05/18,96.03,95.5,96.21,95.29,2.34M,0.81%
10/08/18,95.6,96.07,96.44,94.92,2.47M,-0.45%
10/09/18,96.5,95.53,96.68,95.17,1.87M,0.94%
10/10/18,94.87,96.67,97.22,94.87,3.60M,-1.69%
10/11/18,93.74,95.08,95.39,93.3,3.57M,-1.19%
10/12/18,94.29,94.49,95.09,94.01,3.05M,0.59%
10/15/2018,93.52,93.94,94.78,93.5,2.80M,-0.82%
10/16/2018,96.22,94.24,96.34,94.07,2.75M,2.89%
10/17/2018,95.77,96.2,96.38,94.9,2.70M,-0.47%
10/18/2018,96.15,95.59,96.48,95.46,2.56M,0.40%
10/19/2018,95.3,95.62,96.97,94.94,2.44M,-0.88%
10/22/2018,94.99,95.1,95.77,94.5,2.37M,-0.33%
10/23/2018,95.51,94.32,95.56,93.84,2.83M,0.55%
10/24/2018,91.99,95.41,95.83,91.92,5.07M,-3.69%
10/25/2018,95.41,92.6,95.72,92.17,3.97M,3.72%
10/26/2018,94.28,94.37,95.27,93.62,3.49M,-1.18%
10/29/2018,94.87,95.05,95.88,93.63,2.91M,0.63%
10/30/2018,95.42,95.4,95.84,94.43,2.72M,0.58%
10/31/2018,96.97,95.74,97.63,95.43,4.25M,1.62%
11/01/18,97.24,98,98.98,96.11,3.95M,0.28%
11/02/18,96.74,98,98.09,95.92,2.34M,-0.51%
11/05/18,97.45,96.75,97.93,96.75,2.32M,0.73%
11/06/18,98.19,97.68,98.54,97.31,3.56M,0.76%
11/07/18,99.48,98.93,100.43,98.86,5.33M,1.31%
11/08/18,99.32,99,99.9,98.85,3.99M,-0.16%
11/09/18,98.48,99.35,99.66,98.45,3.39M,-0.85%
11/12/18,98.2,98.67,99.02,98.16,2.93M,-0.28%
11/13/2018,96.88,98.6,98.72,96.76,4.44M,-1.34%
11/14/2018,96.48,97.16,97.75,96.38,3.87M,-0.41%
11/15/2018,97.46,95.97,98.13,95.66,3.32M,1.02%
11/16/2018,97.64,97.23,98.13,97.23,3.63M,0.18%
11/19/2018,96.9,97.7,97.96,96.47,3.76M,-0.76%
11/20/2018,95.29,97.27,97.7,95.19,7.93M,-1.66%
11/21/2018,95.33,95.05,97.12,95.05,6.47M,0.04%
11/23/2018,96.81,94.53,97.02,92.95,1.44M,1.55%
11/26/2018,99.12,97.45,99.84,97.19,5.13M,2.39%
11/27/2018,99.54,99.09,99.57,98.11,4.54M,0.42%
11/28/2018,101.1,99.61,101.19,99.24,5.98M,1.57%
